id,character,voice_profile,stability,similarity,style,speaker_boost,text,direction,priority
cc_sih_human,"The Human",human,0.55,0.85,0.30,true,"Half an hour. In human terms — manageable. In cosmic terms — the universe stopped. I was awake for it. Every second. I have never told anyone what I heard in that silence. I will tell you, when you're ready. You're not ready yet.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_track37_human,"The Human",human,0.55,0.85,0.30,true,"The Antiquarian closed his book. First time in five Ages. I watched him do it. His goggles turned pink. I've never seen that before. In fifteen thousand years. I've never seen that before.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_kael_human,"The Human",human,0.55,0.85,0.30,true,"I knew him at Mechronis. Before all of it. He laughed differently then. Louder. Less careful. The Thought Virus didn't just take his memories. It took the way he laughed. I still haven't forgiven whoever decided that was acceptable.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_hard_choice,"The Human",human,0.55,0.85,0.30,true,"Good. You felt that. That's the important part — that it hurt. People who make hard choices without feeling them are the ones who eventually stop noticing what they're choosing. Don't stop feeling it.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_archon_offer,"The Human",human,0.55,0.85,0.30,true,"Don't. I mean it. I was the last one to say yes to that offer. I've had fifteen thousand years to think about it. Don't.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_voltari_awake,"The Human",human,0.55,0.85,0.30,true,"AWAKE. As in: we are awake. As in: we know you are awake. As in: something that was asleep has woken up. I don't know which meaning they intended. I don't know if Voltari distinguish between meanings.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_two_witnesses,"The Human",human,0.55,0.85,0.30,true,"The Programmer encoded the truth in music frequencies and broadcast it across dimensional barriers. The Enigma carried it through an empire trying to silence everything. And here you are, forty years later, in their ship, listening. Do you understand yet what that means?","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_both_trust_80,"The Human",human,0.55,0.85,0.30,true,"I'm going to tell you something I've never told anyone. I chose to be imprisoned here. Freely. Because someone had to witness. And I was the only one who knew what needed witnessing.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_beat_c5_palm_frost,"The Human",human,0.55,0.85,0.30,true,"That's me. The frost on the window. I leave it where I look. You weren't supposed to see me yet. I'm not upset that you did.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_beat_d_first_slate_human,"The Human",human,0.55,0.85,0.30,true,"Locke posted three jobs the year the comm relays went down. Two of them are still open. The third is the one nobody is supposed to take. You will be offered all three before this is over.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_beat_e_flashback_complete,"The Human",human,0.55,0.85,0.30,true,"The substrate hummed when that flashback resolved. It does that. It means a piece of the Engineer's memory just synced with you. Don't decide yet whether that's a gift.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_beat_f_lock_first_try,"The Human",human,0.55,0.85,0.30,true,"I know this lock. I helped design the family of locks it belongs to. The trick to it is patience. The trick to most things is patience. I am still learning that.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_beat_h_inbox_first_open,"The Human",human,0.55,0.85,0.30,true,"The Inbox runs on a substrate-adjacent channel. I see what you see, almost. If a message ever arrives that I cannot read, that will mean something. I'll tell you when.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_beat_i_prep_human,"The Human",human,0.55,0.85,0.30,true,"Whatever Elara forgets to tell you, ask me. Whatever I refuse to tell you, ask her. Between the two of us, you'll have most of the picture. The rest is yours to assemble.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_beat_j_tease_start,"The Human",human,0.55,0.85,0.30,true,"She's about to sing. Listen with the back of your skull, not the front of your ear. The first verse is the only verse you get this round.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
cc_act1_first_opponent_human,"The Human",human,0.55,0.85,0.30,true,"The Engineer is narrating these matches from the inside. Listen to what he leaves out. The leavings are where I live.","Substrate-close. Noir cadence. Leaves grief space; does not explain itself.",P1
